ID,Name,CAS,Formula,Ion Species,Mass (DB),CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,POS QCdilution 0 0625 DI2.d.HRdm, POS QCdilution 0 125 DI2.d.HRdm, POS QCdilution 0 25 DI2.d.HRdm, POS QCdilution 0 5 DI2.d.HRdm, POS QCdilution 1 0 DI2.d.HRdm, POS S1P DI2.d.HRdm, POS S1S DI2.d.HRdm, POS S2P DI2.d.HRdm, POS S2S DI2.d.HRdm, POS S3P DI2.d.HRdm, POS S3S DI2.d.HRdm, POS W1P DI2.d.HRdm, POS W1S DI2.d.HRdm, POS W2P DI2.d.HRdm, POS W2S DI2.d.HRdm, POS W3P DI2.d.HRdm, POS W3S DI2.d.HRdm
64,Isoleucyl-Lysine,,C12 H25 N3 O3,(M+H)+,259.1896,,2.806,0.084,26.787,0.027,163.87,0.17,260.1979,0.0006,0.0214454,1.09,1,3,14,100,,FALSE,1.56E+07,3694271,2422951,3358510,9241704,7696852,1.44E+07,9968436,1015899,6412214,0.001,1.04E+07,1.02E+07,9958203,0.001,0.001,7311450
65,,,,,,,2.514,0.003,33.016,0.064,196.06,0.38,699.3684,0.0009,0.0213926,0.46,1,3,17,100,x,FALSE,913874.3,792278,3190196,8071799,2.04E+07,7722480,1.33E+07,8639700,1.23E+07,7059749,1.73E+07,2307731,1.34E+07,4887635,1.03E+07,6553676,1.76E+07
66,"3-Hydroxy-N6,N6,N6-trimethyl-L-lysine",,C9 H21 N2 O3,(M+Na)+,205.1552,,2.246,0.003,25.205,0.025,155.15,0.16,228.1465,0.0002,0.0209305,0.25,1,3,17,100,x,FALSE,1197074,2470694,5128884,7999671,9950872,9313923,9540940,9334472,1.11E+07,8422258,9530033,6561009,1.07E+07,6959979,1.01E+07,7890514,9927658
67,Purine,120-73-0,C5 H4 N4,(M+H)+,120.0436,121.7,1.318,0.105,18.896,0.047,121.4,0.31,121.0507,0.0012,0.0208104,0.86,1,2,14,97,,FALSE,0.001,0.001,1.38E+07,1690327,1.01E+07,1.34E+07,1.13E+07,1.02E+07,9738946,0.001,8796330,1.64E+07,7409406,9931976,1.05E+07,432083.3,1.13E+07
68,3-(Methylthio)propyl acetate,16630-55-0,C6 H12 O2 S,(M+NH4)+,148.0558,,1.408,0.008,20.971,0.011,131.44,0.07,166.0898,0.0003,0.0202223,0.78,1,2,13,97.3,x,FALSE,0.001,0.001,1.18E+07,7481093,0.001,1.51E+07,7927735,9415596,1.07E+07,9799586,8949948,0.001,6763521,1.20E+07,9788496,1.02E+07,6674975
69,Roxatidine acetate,78628-28-1,C19 H28 N2 O4,(M+NH4)+,348.2049,,1.484,0.004,31.618,0.033,190.96,0.2,366.2369,0.0007,0.0201393,0.36,1,4,17,100,x,FALSE,588490.6,1124826,2830123,6753043,1.28E+07,7429186,1.18E+07,9947237,1.38E+07,7315217,1.28E+07,4116562,1.47E+07,5440577,1.11E+07,6607977,1.32E+07
70,,,,,,,2.799,0.014,34.308,0.036,205.68,0.22,471.2937,0.0007,0.0201147,1.28,1,3,9,88.2,,FALSE,0.001,1.64E+07,1.38E+07,0.001,9963376,0.001,1.07E+07,1.37E+07,0.001,0.001,1.38E+07,9696171,1.60E+07,0.001,0.001,0.001,1.44E+07
71,,,,,,,0.221,0.003,47.698,0.148,284.21,0.88,663.4564,0.0007,0.0199473,0.77,1,4,17,100,,FALSE,8301489,7697162,1.08E+07,6631219,3463048,8183018,7131063,6403366,1370679,5998536,4008253,5768663,638904.8,7068261,4667858,8886883,896825.3
72,(S)-5'-Deoxy-5'-(methylsulfinyl)adenosine,897-42-7,C11 H15 N5 O4 S,(M+H)+,313.0845,,0.896,0.007,27.038,0.023,164.04,0.14,314.0929,0.0007,0.0197753,0.62,1,4,17,100,x,FALSE,280723.8,1647278,5388339,1.08E+07,1.80E+07,2824459,1.29E+07,3496693,1.83E+07,2781155,1.62E+07,1237128,1.70E+07,2507326,1.64E+07,3125951,1.86E+07
73,Cohibin A,189508-31-4,C35 H64 O4,(M+H)+,548.4805,,0.606,0.004,42.116,0.046,251.83,0.28,549.4901,0.0007,0.0194843,1.34,1,4,10,100,x,FALSE,0.001,324944.6,1004456,2040525,3533384,1.41E+07,0.001,1.28E+07,0.001,1.32E+07,0.001,1.47E+07,0.001,1.97E+07,0.001,2.00E+07,0.001
74,,,,,,,2.838,0.011,45.326,0.04,269.17,0.24,780.5008,0.0012,0.0193308,1.1,1,5,12,100,,FALSE,1.28E+07,0.001,0.001,3256145,2216090,9006349,1.17E+07,6266074,0.001,1.14E+07,9986919,9462107,8645110,1.19E+07,0.001,0.001,1.02E+07
75,,,,,,,0.242,0.005,35.528,0.048,214.55,0.29,376.2606,0.0013,0.0184396,1.95,1,5,4,93.6,x,FALSE,7434956,0.001,0.001,0.001,3.43E+07,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.49E+07,0.001,6.28E+07
76,,,,,,,2.661,0.008,40.197,0.079,239.8,0.48,598.3369,0.0016,0.0184002,0.72,1,4,13,100,,FALSE,0.001,0.001,4163338,8408734,2.05E+07,0.001,1.09E+07,4991913,8100536,7075887,1.71E+07,0.001,1.90E+07,6572681,8214215,4376096,2.15E+07
77,,,,,,,2.839,0.01,46.402,0.086,275.6,0.51,780.5008,0.0012,0.0183643,1.09,1,4,11,97.6,,FALSE,1.14E+07,0.001,0.001,2701037,6270563,0.001,1.26E+07,6712553,0.001,5352640,2.08E+07,8840339,8645634,1.22E+07,0.001,0.001,1.64E+07
78,Isopentyl beta-D-glucoside,,C11 H22 O6,(M+H)+,250.1416,,1.062,0.05,26.785,0.083,164.14,0.51,251.1508,0.0006,0.0182697,1.3,1,4,11,100,x,FALSE,2038825,521244.3,7927714,1870667,1.23E+07,0.001,0.001,1671596,2.69E+07,0.001,1.97E+07,1.68E+07,0.001,0.001,3.69E+07,2318284,0.001
79,Allopurinol,315-30-0,C5 H4 N4 O,(M+H)+,136.0385,,0.557,0.003,20.538,0.051,130.64,0.33,137.0462,0.0003,0.0179865,0.58,1,3,15,100,,FALSE,1057510,2580655,2936459,4037213,5455313,9948114,8571977,1.29E+07,1.22E+07,8503499,1.06E+07,7552683,9673868,8129528,0.001,6404398,0.001
80,NVATPR (Tryptic Peptide),,C27 H48 N10 O9,(M+H)+,656.3606,251.4,2.781,0.029,41.461,0.043,246.89,0.26,657.3705,0.0009,0.0179762,0.99,1,3,12,84.9,,FALSE,8378015,1.03E+07,0.001,0.001,8453229,4936956,8579267,7501025,0.001,8379292,0.001,6617030,2903145,7105323,7492295,7262244,0.001
81,N8-Acetylspermidine,34450-15-2,C9 H21 N3 O,(M+H)+,187.1685,,2.795,0.015,22.898,0.013,142.43,0.08,188.1759,0.0005,0.0172989,1.17,1,3,10,98.2,,FALSE,0.001,0.001,0.001,7432122,0.001,0.001,9138214,6306745,4616812,2.00E+07,1.12E+07,0.001,1.49E+07,1.46E+07,1.05E+07,0.001,2.58E+07
82,"1,26-Hexacosanediol diferulate",,C46 H70 O8,(M+H)+,750.5071,,0.233,0.001,46.316,0.049,275.27,0.29,751.515,0.001,0.0172333,1.21,1,5,9,100,x,FALSE,0.001,650479.4,2379680,0.001,1.35E+07,0.001,2.07E+07,0.001,1.16E+07,0.001,2.67E+07,0.001,2.82E+07,0.001,2.09E+07,0.001,2.75E+07
83,,,,,,,2.26,0.006,40.768,0.053,242.73,0.32,659.3429,0.0008,0.0172315,0.36,1,4,17,100,,FALSE,779424.8,1068492,2435572,4746643,9526155,7688175,9659552,8503978,1.28E+07,5908184,1.24E+07,3331828,1.06E+07,4988633,9383581,5414964,1.16E+07
84,Bikhaconitine,6078-26-8,C36 H51 N O11,(M+Na)+,673.3462,,2.666,0.001,41.859,0.065,248.99,0.39,696.3359,0.0013,0.0169756,0.68,1,4,17,100,x,FALSE,1059078,1253730,2957056,5552795,2.25E+07,3877032,7771979,4531848,5660398,5598789,1.50E+07,1172873,1.92E+07,3098872,4864048,3652206,1.92E+07
85,Quillaic acid 3-[rhamnosyl-(1-3)-[galactosyl-(1-2)]-glucuronide],210426-59-8,C48 H74 O20,(M+NH4)+,970.4773,,1.467,0.008,50.34,0.046,298.03,0.27,988.5143,0.0014,0.0169045,0.48,1,5,17,100,,FALSE,158211.6,434998.8,1991377,5530261,1.33E+07,4865341,1.24E+07,8513133,8552552,6690940,1.47E+07,2790689,9647871,4164742,1.07E+07,5261917,1.30E+07
86,Zizyphine A,51059-42-8,C33 H49 N5 O6,(M+Na)+,611.3683,,1.65,0.004,40.567,0.076,241.72,0.45,634.3583,0.0005,0.0165338,0.61,1,4,17,100,x,FALSE,254471,888756.9,1882136,3491853,1.05E+07,5006685,1.19E+07,1.00E+07,1.34E+07,3712844,1.35E+07,819961.4,1.61E+07,1981919,1.18E+07,3317872,1.85E+07
87,,,,,,,1.85,0.01,43.161,0.062,256.91,0.37,679.3813,0.0008,0.0164831,0.73,1,5,15,100,x,FALSE,208830,1031016,2909389,7709799,1.92E+07,5110703,0.001,6866037,1.18E+07,6005057,1.82E+07,2092530,0.001,3853172,8113713,4935982,2.02E+07
88,Lobeline,90-69-7,C22 H27 N O2,(M+Na)+,337.2042,,1.68,0.036,29.325,0.022,177.11,0.13,360.1934,0.0005,0.0164249,0.61,1,4,17,100,,FALSE,334979.7,1123795,2536355,4856898,1.74E+07,3837268,8104000,5523454,1.55E+07,4504818,1.61E+07,2201284,1.94E+07,3125182,7069217,2667412,9874051
89,,,,,,,1.471,0.004,49.682,0.053,294.2,0.32,966.5326,0.0015,0.0161134,0.49,1,5,17,100,,FALSE,279642.3,584942.6,1717673,4265247,1.30E+07,5483300,1.14E+07,7737353,1.02E+07,5008115,1.24E+07,2271650,1.25E+07,3167295,1.22E+07,4263708,1.30E+07
90,Anacyclin,94413-18-0,C18 H25 N O,(M+Na)+,271.1936,,2.76,0.06,27.407,0.023,166.75,0.14,294.1821,0.0005,0.0161125,1.13,1,3,13,100,,FALSE,1.14E+07,0.001,0.001,2470737,6742313,0.001,8848039,8247950,4327615,3941941,1.87E+07,7704182,6614220,8062166,0.001,3440454,1884682
91,3-(Methylthio)propyl acetate,16630-55-0,C6 H12 O2 S,(M+NH4)+,148.0558,,2.005,0.005,20.969,0.017,131.42,0.11,166.0897,0.0003,0.0160137,0.84,1,4,14,90.8,x,FALSE,7286674,7560515,8210466,6032226,0.001,5097712,6838624,4877936,7112225,4510407,4253882,4638887,0.001,0.001,9884495,3764846,3209755
92,,,,,,,2.269,0.008,41.256,0.02,245.49,0.12,681.3248,0.0006,0.0157451,0.6,1,4,15,100,,FALSE,0.001,0.001,1325955,3877750,1.29E+07,4652132,1.08E+07,6102788,1.37E+07,4913380,1.18E+07,1831758,1.67E+07,3096812,8874664,4005540,1.70E+07
93,,,,,,,2.822,0.001,51.434,0.039,304.5,0.23,997.5143,0.0019,0.0154203,0.46,1,5,17,100,,FALSE,635583.8,742523.7,1766299,4161631,1.17E+07,5769814,8937778,6364180,1.08E+07,4693318,1.17E+07,1963983,1.50E+07,3348419,7613166,4084494,1.49E+07
94,Clitocine,105798-74-1,C9 H13 N5 O6,(M+H)+,287.0866,,2.595,0.019,26.776,0.016,163.03,0.1,288.0924,0.0009,0.0152097,1.4,1,4,10,97.7,,FALSE,0.001,0.001,0.001,4156685,0.001,2.77E+07,9061974,9620075,6931863,5920216,0.001,0.001,4675719,1.09E+07,0.001,4015304,1.38E+07
95,N-(Cyclohexylmethyl)-N-methylbenzenamine,,C14 H21 N,(M+Na)+,203.1674,,2.097,0.001,25.371,0.02,156.26,0.13,226.1561,0.0003,0.0151933,0.21,1,3,17,100,x,FALSE,1152640,2194650,3632239,5287371,7130600,6522954,7007966,6636883,8450187,5699229,6741418,4646291,7696178,4964759,7595820,5525127,7666810
96,Thalmine,7682-65-7,C37 H40 N2 O6,(M+Na)+,608.2886,,2.668,0.006,38.664,0.036,230.33,0.22,631.2794,0.0011,0.0151672,0.73,1,3,14,100,,FALSE,6226493,0.001,0.001,0.001,3182766,7969165,7171592,7128814,5343001,4547149,1.28E+07,8009127,6008505,7263279,3328365,4260281,9894011
97,Asparagoside G,60267-27-8,C51 H86 O24,(M+NH4)+,1082.5509,,2.387,0.002,54.41,0.039,321.79,0.23,1100.5809,0.0012,0.015056,0.45,1,5,17,100,,FALSE,343122.4,636830.8,1630593,3763575,1.03E+07,6463606,9428728,7038660,1.17E+07,4694624,1.16E+07,2386021,1.12E+07,3307507,9347242,3854946,1.29E+07
98,Samandarone,467-52-7,C19 H29 N O2,(M+Na)+,303.2198,,1.757,0.061,29.28,0.011,177.49,0.07,326.2088,0.0003,0.015054,0.91,1,5,12,98.4,x,FALSE,0.001,0.001,0.001,3502623,0.001,3886010,1.41E+07,6258585,1.69E+07,3041962,1.78E+07,0.001,2.14E+07,3513575,7905154,3009267,2.13E+07
99,Imidapril,89371-37-9,C20 H27 N3 O6,(M+H)+,405.19,,0.427,0.001,31.784,0.023,191.29,0.14,406.1962,0.0004,0.0149079,0.7,1,4,16,100,x,FALSE,0.001,372632.9,1180079,2644525,7774243,5018153,1.04E+07,9322779,1.52E+07,2764014,1.31E+07,733640.6,1.37E+07,1792664,1.15E+07,2911558,1.87E+07
100,"2-Hydroxy-4-imino-2,5-cyclohexadienone",74331-93-4,C6 H5 N O2,(M+H)+,123.032,,0.677,0.003,19.24,0.027,123.36,0.18,124.0398,0.0001,0.0146842,0.55,1,3,16,100,x,FALSE,0.001,1195657,2493397,4145858,5592625,8999692,4949099,8926365,6117593,8510541,5283020,6298937,5809556,6032712,5721917,6590959,5837744
101,,,,,,,2.708,0.009,26.502,0.028,159.16,0.17,413.7341,0.0008,0.0146594,0.72,1,3,17,100,,FALSE,6854652,793196,939873.7,1958971,4065063,5766330,6799249,8120719,4684438,3908675,1.02E+07,8361631,4120443,6593791,2625943,3073969,6961697
102,Erinacine D,157397-40-5,C27 H42 O7,(M+H)+,478.2931,,2.578,0.006,35.274,0.025,211.41,0.15,479.2992,0.0005,0.0145621,0.42,1,5,16,100,,FALSE,0.001,1019008,2158171,4434628,1.00E+07,6424373,8037944,6198568,1.09E+07,4790913,1.00E+07,2608795,1.24E+07,3350073,6640612,4371056,1.20E+07
103,Distigmine,17299-00-2,C22 H32 N4 O4,(M+H)+,416.2424,,2.786,0.018,32.372,0.051,194.7,0.31,417.2493,0.0007,0.014273,0.88,1,3,15,86.1,,FALSE,7467225,6816428,0.001,2028288,0.001,4002598,5789680,6210498,5144963,3959850,1.14E+07,1912907,2308301,3654960,5598010,5605549,5682796
104,"PE(20:4(8Z,11Z,14Z,17Z)/14:0)",,C39 H70 N O8 P,(M+H)+,711.4839,,0.875,0.013,45.963,0.055,273.43,0.33,712.4919,0.0015,0.0142562,0.91,1,4,11,100,,FALSE,339500.4,2165758,4525511,7662760,8960640,8736465,0.001,9188629,0.001,8615499,0.001,8201807,0.001,8908992,0.001,8582182,0.001
105,,,,,,,2.581,0.003,34.644,0.027,207.51,0.16,488.253,0.0004,0.0140975,0.58,1,3,15,100,,FALSE,0.001,0.001,1402234,3664735,1.10E+07,5949754,7919489,5772001,1.23E+07,4213975,1.10E+07,1872338,1.44E+07,2387306,7542523,3711353,1.45E+07
106,Octylamine,111-86-4,C8 H19 N,(M+H)+,129.1517,,0.991,0.024,21.022,0.076,134.35,0.49,130.1593,0.0005,0.0137966,0.61,1,2,16,99.9,,FALSE,719922.8,4844861,4216335,3538632,2816401,8363952,3866218,6111032,9014775,5203969,0.001,7990643,3628198,4390301,4694339,5282512,4424171
107,4-Fluorocatechol,367-32-8,C6 H5 F O2,(M+NH4)+,128.0274,,0.348,0.001,19.89,0.035,125.81,0.22,146.0607,0.0003,0.0137344,0.32,1,3,17,100,x,FALSE,840701.3,1091689,1952461,3587923,7666613,5436368,7464643,6180298,1.04E+07,4703285,8465609,2726943,9878240,3482380,8170236,4218623,1.06E+07
108,Allopurinol,315-30-0,C5 H4 N4 O,(M+H)+,136.0385,,0.606,0.113,21.164,0.152,134.67,0.98,137.0462,0.0002,0.0135879,1.13,1,3,12,93.1,,FALSE,0.001,1619706,1638895,7800061,304781.2,8796495,0.001,0.001,0.001,5511459,2022876,9323375,0.001,1.55E+07,5617197,5390457,1.64E+07
109,"1,2-Dipentadecanoyl-sn-glycero-3-phosphoethanolamine",109032-52-2,C35 H70 N O8 P,(M+H)+,663.4839,267.3,0.898,0.005,44.776,0.047,266.7,0.28,664.493,0.0014,0.0135584,1.23,1,5,11,100,,FALSE,187048.7,503627.4,1110973,2352118,3616511,9587722,0.001,9844143,0.001,8515658,0.001,1.11E+07,0.001,1.21E+07,0.001,1.20E+07,0.001
110,Zidovudine,30516-87-1,C10 H13 N5 O4,(M+H)+,267.0968,,0.602,0.083,26.382,0.026,161.14,0.16,268.1051,0.0003,0.0130913,1.7,1,4,6,100,x,FALSE,3123100,6864175,1.26E+07,2.12E+07,2.76E+07,0.001,0.001,0.001,0.001,0.001,99856.59,0.001,0.001,0.001,0.001,0.001,0.001
111,Chivosazole D,,C47 H67 N O12,(M+NH4)+,837.4663,,2.238,0.072,47.162,0.082,279.71,0.49,855.4997,0.0008,0.0129433,0.77,1,5,13,100,,FALSE,0.001,0.001,0.001,0.001,5702833,3775555,1.20E+07,9346591,1.43E+07,5193946,1.29E+07,2936645,9120449,4140148,9246323,5533.926,1.00E+07
112,Amino acid(Arg-),,C6 H14 N4 O2,(M+H)+,174.1117,,2.901,0.008,21.786,0.01,136.09,0.06,175.12,0.0004,0.0127501,0.81,1,3,15,100,,FALSE,6608035,0.001,1254397,1756818,3704365,4707410,5520207,5943063,2842718,3738059,8424430,6704179,3958213,6990626,0.001,4295643,6415934
113,,,,,,,2.219,0.008,48.223,0.078,285.82,0.46,899.4646,0.0006,0.0127096,0.4,1,6,17,100,,FALSE,324693.7,814594.5,1815217,4088354,9303009,4618813,5625930,4177659,8936914,5521633,6859146,1801050,8882770,4248086,9836046,4129437,9292511
114,Dibucaine,85-79-0,C20 H29 N3 O2,(M+Na)+,343.226,,2.887,0.001,31.464,0.043,190.02,0.26,366.2149,0.0007,0.0124525,0.57,1,4,17,100,x,FALSE,315008.8,653297.1,1614746,3665691,1.17E+07,4380003,6676657,4444094,7661417,3729141,1.07E+07,1235525,1.37E+07,2246714,5420909,2298456,1.41E+07
115,Hesperaline,15797-38-3,C14 H22 N O4,(M+H)+,268.1549,,2.789,0.003,27.374,0.054,167.23,0.33,269.1621,0.0006,0.0122511,0.43,1,3,17,100,x,FALSE,1666073,877879.9,1748785,4220668,1.05E+07,4679372,6704881,4237417,7572994,3102186,9432753,778577.2,1.15E+07,2314977,5020038,2960050,1.11E+07
116,,,,,,,1.481,0.002,44.203,0.041,263.09,0.24,687.5043,0.0006,0.0122357,1.05,1,5,9,100,x,FALSE,0.001,0.001,0.001,2761485,1.14E+07,0.001,1.14E+07,7277258,1.66E+07,0.001,1.26E+07,0.001,1.61E+07,0.001,1.07E+07,0.001,1.62E+07
117,Octylamine,111-86-4,C8 H19 N,(M+H)+,129.1517,,1.391,0.031,21.014,0.057,134.3,0.37,130.1595,0.0002,0.0122059,0.87,1,3,13,99.8,,FALSE,5769847,790834.2,2464905,3858515,5530950,9936469,5564942,6781446,1.08E+07,0.001,0.001,0.001,5364659,5273944,8970631,0.001,4628896
118,"PE(14:0/20:2(11Z,14Z))",,C39 H74 N O8 P,(M+H)+,715.5152,,0.838,0.005,45.443,0.054,270.29,0.32,716.5259,0.0017,0.0120809,1.24,1,5,10,100,,FALSE,0.001,293337.1,790400.3,2101590,2711929,1.03E+07,0.001,9600036,0.001,9347686,0.001,8567256,0.001,9423703,0.001,1.05E+07,0.001
119,,,,,,,1.589,0.008,17.321,0.032,112.96,0.21,103.0544,0.0002,0.012026,0.25,1,3,17,100,x,FALSE,643765.6,1325294,2615605,4718329,7264824,3947047,6810761,5564883,6471464,4496719,6784423,2608468,8074512,3223523,5984073,3822548,7825924
120,,,,,,,2.452,0.013,50.484,0.053,298.83,0.31,1001.5126,0.001,0.0118558,0.51,1,4,16,97.7,,FALSE,212254,0.001,934689.1,2448598,8318719,5168700,8532424,5281432,8803388,3690075,8895086,1828798,8213327,3262731,8179917,3474601,1.06E+07
121,"PE(14:0/20:2(11Z,14Z))",,C39 H74 N O8 P,(M+H)+,715.5152,,0.835,0.004,46.091,0.035,274.17,0.21,716.5255,0.0015,0.0118066,1.3,1,2,8,100,,FALSE,0.001,0.001,0.001,2143336,2476751,8993559,0.001,9123576,0.001,9010317,0.001,1.03E+07,0.001,9663976,0.001,1.05E+07,0.001
122,"3,3'-Dimethylbenzidine",119-93-7,C14 H16 N2,(M+Na)+,212.1313,,1.336,0.005,25.165,0.041,154.65,0.25,235.1197,0.0008,0.0117128,2.23,1,4,3,100,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3.52E+07,0.001,0.001,1.97E+07,3.60E+07,0.001,0.001,0.001,0.001
123,Maculosin,04/02/4549,C14 H16 N2 O3,(M+H)+,260.1161,,0.316,0.002,26.234,0.029,160.43,0.18,261.1256,0.001,0.0115838,0.33,1,4,17,100,,FALSE,474610.5,998501.3,1943218,3282121,5208377,4975690,6007165,6204034,7587999,4880362,6086022,2779974,7182192,3237784,6485774,4230231,7397147
124,Elatine,26000-16-8,C38 H50 N2 O10,(M+H)+,694.3465,,1.881,0.005,42.773,0.058,254.47,0.35,695.3538,0.0007,0.01153,0.54,1,3,16,100,,FALSE,0.001,115098.3,880078.1,2681037,8626670,4633790,6916101,5900521,9259424,3978480,8655393,1405542,9921649,2531749,6813278,3169679,1.11E+07
125,Zizyphine A,51059-42-8,C33 H49 N5 O6,(M+Na)+,611.3683,,1.651,0.003,42.121,0.056,251.03,0.33,634.3582,0.0006,0.0113876,0.7,1,4,15,100,,FALSE,0.001,471658.3,1113365,2794419,8144962,3021567,9003107,7525220,8504240,2710634,1.13E+07,436003.9,1.25E+07,0.001,8047332,2396649,1.11E+07
126,,,,,,,1.849,0.006,37.372,0.047,223.2,0.29,558.3305,0.0006,0.0113702,0.5,1,4,16,100,,FALSE,0.001,582718.3,1444960,3481122,8808456,3600182,7202331,4718318,8991198,3402056,9064977,1560915,1.02E+07,2173099,6829460,2733694,1.06E+07
127,Mitoxantrone,65271-80-9,C22 H28 N4 O6,(M+NH4)+,444.2009,,2.436,0.006,33.28,0.064,199.58,0.39,462.2348,0.0007,0.0113602,0.63,1,3,16,99.9,,FALSE,0.001,920169.7,2160618,3131342,1.32E+07,3693842,6155126,3241086,8658540,2849178,9819106,881864.7,1.12E+07,1824553,4183251,2267366,1.21E+07
128,,,,,,,2.769,0.01,37.025,0.041,220.98,0.25,573.3154,0.0011,0.0112853,1.06,1,3,11,97.3,,FALSE,6910638,0.001,1077917,0.001,0.001,4809163,6460620,6151327,0.001,3146422,9718488,7278637,0.001,5902057,0.001,2826849,7563539
129,,,,,,,1.85,0.008,42.445,0.058,252.62,0.35,679.3811,0.0008,0.010934,0.88,1,5,12,100,x,FALSE,0.001,554371.4,2415393,7143602,0.001,4977282,0.001,5454973,1.05E+07,5733142,0.001,1910974,0.001,3776678,7590686,4913194,1.90E+07
130,Elatine,26000-16-8,C38 H50 N2 O10,(M+H)+,694.3465,,1.878,0.004,43.564,0.04,259.2,0.24,695.3537,0.0008,0.0109333,0.51,1,4,16,100,,FALSE,0.001,184332.6,1028751,2252455,7574778,2952643,7208896,5774891,6855605,4258339,8348526,1753838,9811509,2673105,7471716,3600489,9415755
131,PC-M6,133613-76-0,C27 H35 N O3,(M+Na)+,421.2617,,2.671,0.002,33.771,0.027,202.78,0.16,444.2476,0.0008,0.0108384,0.53,1,3,15,100,,FALSE,0.001,0.001,1215861,3028690,8365772,3908337,5999687,4915849,8382731,3267145,8057521,1996104,1.12E+07,2586863,5063567,2943131,1.05E+07
132,Saussurea lactone,23527-07-3,C15 H22 O2,(M+Na)+,234.162,,1.555,0.003,27.619,0.025,169.1,0.15,257.1484,0.0003,0.0108254,0.46,1,3,16,100,x,FALSE,0.001,647798.2,2060440,3697759,5647727,5150493,4451236,5338050,5165991,5136193,4441686,4877246,4837578,4843286,4310350,4781848,4510956
133,,,,,,,2.514,0.003,33.027,0.109,196.12,0.65,699.8673,0.0007,0.0107814,0.54,1,3,15,100,,FALSE,0.001,1161126,2480980,6080813,7375920,2646656,5509107,7025954,9305140,4402217,4512478,1872981,1.07E+07,2646159,0.001,2417818,7138999
134,PC-M6,133613-76-0,C27 H35 N O3,(M+NH4)+,421.2617,,1.855,0.044,33.977,0.128,204.1,0.77,439.2927,0.0002,0.0107504,0.99,1,4,11,93.5,x,FALSE,0.001,1641495,2275876,7788567,0.001,460393.5,1.23E+07,8818502,0.001,7269570,0.001,2398391,0.001,3836896,1.08E+07,7113260,0.001
135,Bikhaconitine,6078-26-8,C36 H51 N O11,(M+Na)+,673.3462,,2.666,0.001,43.419,0.054,258.33,0.32,696.3358,0.0013,0.0107416,0.69,1,4,17,100,x,FALSE,466100.8,683730.1,1432281,3913184,1.34E+07,2298438,5617881,2909059,5616145,2906788,1.05E+07,606839.7,1.23E+07,1564381,3261445,2285562,1.26E+07
136,5-Oxoavermectin ''1a'' aglycone,,C34 H46 O8,(M+Na)+,582.3193,,2.763,0.017,30.835,0.027,183.56,0.16,605.3087,0.0008,0.0106278,0.87,1,3,13,97.2,,FALSE,0.001,5689896,4590512,1835392,992239.6,3898607,0.001,6288497,3917387,4921127,6976623,3812192,0.001,5465814,0.001,5280769,3191877
137,Pantoyllactone glucoside,,C12 H20 O8,(M+H)+,292.1158,,0.296,0.006,27.493,0.024,167.31,0.15,293.1251,0.0009,0.0105356,1.45,1,3,10,100,x,FALSE,0.001,527489.6,1381871,3550836,0.001,0.001,1.39E+07,0.001,2.76E+07,4714292,0.001,1119640,2.05E+07,2682976,0.001,4276303,0.001
138,Tigecycline,220620-09-7,C29 H39 N5 O8,(M+NH4)+,585.2799,,2.643,0.003,38.718,0.037,230.88,0.22,603.3169,0.0009,0.0103569,0.59,1,4,15,90.3,,FALSE,0.001,0.001,1004510,2522936,8121908,4662119,5957502,4463351,9230581,3248452,8082091,1203753,1.04E+07,1937674,5255670,2305782,1.06E+07
139,,,,,,,1.022,0.002,32.426,0.02,196.34,0.12,343.2963,0.0005,0.0103552,0.74,1,4,17,100,x,FALSE,434545.4,275177.8,804374,2137778,4655630,6609762,6944972,5934298,3471929,5107917,2610521,6267042,3145216,3003370,1654800,7647232,3069754
140,,,,,,,2.353,0.013,53.74,0.04,317.66,0.24,1144.5443,0.0014,0.0103218,0.55,1,5,17,100,,FALSE,94764.75,315613.5,1067893,3525564,9987388,2222276,6770286,4670687,6573244,3921746,8608372,607733.3,9003814,2627147,5621139,3315376,7785082
141,,,,,,,1.729,0.038,34.452,0.023,206.68,0.14,461.2749,0.0005,0.0102121,1.13,1,3,13,92,,FALSE,0.001,0.001,0.001,3043998,0.001,1795237,5957026,3412615,6428432,3211275,1.95E+07,793092.5,8371550,1830752,4386523,1886869,2.27E+07
142,Tegafur,17902-23-7,C8 H9 F N2 O3,(M+H)+,200.0597,,1.441,0.006,23.001,0.021,142.48,0.13,201.0666,0.0003,0.0101463,1.72,1,4,15,100,x,FALSE,0.001,0.001,1028119,1661634,2417303,2.49E+07,5094213,3714924,3039651,4129414,5275579,638547.9,3880371,1999044,4395451,485814.9,3524167
143,,,,,,,2.323,0.009,43.133,0.054,256.45,0.32,720.3929,0.0006,0.0100559,0.57,1,3,15,82.4,,FALSE,0.001,574991,1459587,2706238,8791892,0.001,7002301,4277153,8698914,3931692,7892541,1736467,8806653,2803340,5309317,2359546,8954330
